Prop:1{2000:{0,0.10195530726256984,-,0};4000:{0,0.1020685489959233,-,0};6000:{0,0.10320096632945795,-,0};8000:{0,0.10059640646232824,-,0};10000:{0,0.10271025215159293,-,0};1000:{0,0.10195530726256984,-,0};3000:{0,0.10225728521817908,-,0};5000:{0,0.10297448286275102,-,0};7000:{0,0.10289898837384871,-,0};9000:{0,0.10486184508530877,-,0}}
Prop:2{2000:{0,0.48852483768684885,-,0};4000:{0,0.4884870904423977,-,0};6000:{0,0.4888268156424581,-,0};8000:{0,0.4881473652423373,-,0};10000:{0,0.4853540691529518,-,0};1000:{0,0.4928657707987317,-,0};3000:{0,0.48803412350898384,-,0};5000:{0,0.48414615733051486,-,0};7000:{0,0.49003472746489507,-,0};9000:{0,0.4875056620866677,-,0}}
Prop:3{2000:{0,0.09927525290653783,-,0};4000:{0,0.09591574815038502,-,0};6000:{0,0.09999245055110977,-,0};8000:{0,0.09825607730635663,-,0};10000:{0,0.09738789068398007,-,0};1000:{0,0.09572701192812924,-,0};3000:{0,0.09855805526196587,-,0};5000:{0,0.0965197040616035,-,0};7000:{0,0.09942624188434245,-,0};9000:{0,0.09621772610599426,-,0}}
Prop:4{2000:{0,0.05239317529820323,-,0};4000:{0,0.05337460365393326,-,0};6000:{0,0.05299713120942171,-,0};8000:{0,0.051600483164728976,-,0};10000:{0,0.05239317529820323,-,0};1000:{0,0.05073229654235241,-,0};3000:{0,0.054431526498565606,-,0};5000:{0,0.05348784538728673,-,0};7000:{0,0.05431828476521214,-,0};9000:{0,0.05239317529820323,-,0}}
Prop:5{2000:{0,0.06707685338970255,-,0};4000:{0,0.06741657858976295,-,0};6000:{0,0.06934168805677185,-,0};8000:{0,0.06854899592329759,-,0};10000:{0,0.06571795258946098,-,0};1000:{0,0.0666238864562887,-,0};3000:{0,0.0674543258342141,-,0};5000:{0,0.06632190850067946,-,0};7000:{0,0.06677487543409331,-,0};9000:{0,0.06941718254567417,-,0}}
Prop:6{2000:{0,0.1259248074890533,-,0};4000:{0,0.12826513664502492,-,0};6000:{0,0.12392420353314208,-,0};8000:{0,0.12826513664502492,-,0};10000:{0,0.12690623584478333,-,0};1000:{0,0.12622678544466254,-,0};3000:{0,0.12864260908953645,-,0};5000:{0,0.12645326891136946,-,0};7000:{0,0.12849162011173185,-,0};9000:{0,0.12739695002264834,-,0}}
Prop:7{2000:{0,0.014041974935829685,-,0};4000:{0,0.015363128491620111,-,0};6000:{0,0.013890985958025064,-,0};8000:{0,0.014192963913634305,-,0};10000:{0,0.01423071115808546,-,0};1000:{0,0.013626755246866979,-,0};3000:{0,0.014419447380341234,-,0};5000:{0,0.013589008002415824,-,0};7000:{0,0.013287030046806583,-,0};9000:{0,0.014192963913634305,-,0}}
Prop:8{2000:{0,0.21836780914993206,-,0};4000:{0,0.21364940359353768,-,0};6000:{0,0.21485731541597464,-,0};8000:{0,0.2171598973274951,-,0};10000:{0,0.21289445870451457,-,0};1000:{0,0.21621621621621623,-,0};3000:{0,0.21863203986109014,-,0};5000:{0,0.21987769892797826,-,0};7000:{0,0.22089687452815945,-,0};9000:{0,0.2152347878604862,-,0}}
Prop:9{2000:{0,0.08115657556998339,-,0};4000:{0,0.0793069605918768,-,0};6000:{0,0.08085459761437415,-,0};8000:{0,0.078627510191756,-,0};10000:{0,0.07851426845840254,-,0};1000:{0,0.08149630077004379,-,0};3000:{0,0.08300619054808998,-,0};5000:{0,0.0793824550807791,-,0};7000:{0,0.08017514721425335,-,0};9000:{0,0.07851426845840254,-,0}}
Prop:10{2000:{0,0.06035784387739695,-,0};4000:{0,0.06243394232221048,-,0};6000:{0,0.05960289898837385,-,0};8000:{0,0.05945191001056923,-,0};10000:{0,0.06250943681111279,-,0};1000:{0,0.06262267854446625,-,0};3000:{0,0.061150536010871205,-,0};5000:{0,0.06254718405556395,-,0};7000:{0,0.05881020685489959,-,0};9000:{0,0.06235844783330817,-,0}}
Prop:11{2000:{0,0.0945945945945946,-,0};4000:{0,0.09093311188283255,-,0};6000:{0,0.09436811112788766,-,0};8000:{0,0.08949871659368866,-,0};10000:{0,0.09376415521666918,-,0};1000:{0,0.09248074890532991,-,0};3000:{0,0.0908953646383814,-,0};5000:{0,0.09312245206099955,-,0};7000:{0,0.09191454023856259,-,0};9000:{0,0.09066888117167447,-,0}}
Prop:12{2000:{0,0.01936433640344255,-,0};4000:{0,0.018533897025517138,-,0};6000:{0,0.01913785293673562,-,0};8000:{0,0.018986863958930997,-,0};10000:{0,0.018911369470028687,-,0};1000:{0,0.018533897025517138,-,0};3000:{0,0.018533897025517138,-,0};5000:{0,0.0178921938698475,-,0};7000:{0,0.019402083647893704,-,0};9000:{0,0.01996829231466103,-,0}}
