Prop:18{2000:{0,0.7304846746187529,-,0};4000:{0,0.7270874226181488,-,0};6000:{0,0.7301072021742413,-,0};8000:{0,0.7319568171523478,-,0};10000:{0,0.7315793447078364,-,0};1000:{0,0.7315793447078364,-,0};3000:{0,0.7279556092405255,-,0};5000:{0,0.7285973123961951,-,0};7000:{0,0.730031707685339,-,0};9000:{0,0.7306734108410086,-,0}}
Prop:19{2000:{0,1.0,-,0};4000:{0,1.0,-,0};6000:{0,1.0,-,0};8000:{0,1.0,-,0};10000:{0,1.0,-,0};1000:{0,1.0,-,0};3000:{0,1.0,-,0};5000:{0,1.0,-,0};7000:{0,1.0,-,0};9000:{0,1.0,-,0}}
Prop:20{2000:{0,0.21440434848256076,-,0};4000:{0,0.212026272082138,-,0};6000:{0,0.21183753585988224,-,0};8000:{0,0.21213951381549148,-,0};10000:{0,0.212516986260003,-,0};1000:{0,0.21447984297146308,-,0};3000:{0,0.21021440434848257,-,0};5000:{0,0.21693341386078815,-,0};7000:{0,0.21447984297146308,-,0};9000:{0,0.2158009965272535,-,0}}
Prop:21{2000:{0,0.12362222557753284,-,0};4000:{0,0.12109316019930545,-,0};6000:{0,0.1181866223765665,-,0};8000:{0,0.12226332477729125,-,0};10000:{0,0.11856409482107806,-,0};1000:{0,0.12124414917711007,-,0};3000:{0,0.11999849011022196,-,0};5000:{0,0.11943228144345462,-,0};7000:{0,0.12097991846595199,-,0};9000:{0,0.12165936886607277,-,0}}
Prop:22{2000:{0,0.07281443454627812,-,0};4000:{0,0.07572097236901706,-,0};6000:{0,0.07315415974633852,-,0};8000:{0,0.07292767627963159,-,0};10000:{0,0.07360712667975237,-,0};1000:{0,0.07277668730182697,-,0};3000:{0,0.07138003925713422,-,0};5000:{0,0.07221047863505964,-,0};7000:{0,0.0719085006794504,-,0};9000:{0,0.07119130303487846,-,0}}
Prop:23{2000:{0,0.060961799788615434,-,0};4000:{0,0.060924052544164276,-,0};6000:{0,0.06013136041069002,-,0};8000:{0,0.060886305299713124,-,0};10000:{0,0.0603200966329458,-,0};1000:{0,0.06186773365544315,-,0};3000:{0,0.058394987165936885,-,0};5000:{0,0.058470481654839195,-,0};7000:{0,0.061226030499773515,-,0};9000:{0,0.061452513966480445,-,0}}
Prop:24{2000:{0,0.06805828174543259,-,0};4000:{0,0.06998339121244149,-,0};6000:{0,0.06836025970104183,-,0};8000:{0,0.06907745734561377,-,0};10000:{0,0.06771855654537219,-,0};1000:{0,0.06832251245659067,-,0};3000:{0,0.06802053450098143,-,0};5000:{0,0.06768080930092103,-,0};7000:{0,0.06639740298958176,-,0};9000:{0,0.06907745734561377,-,0}}
Prop:25{2000:{0,0.01966631435905179,-,0};4000:{0,0.021515929337158388,-,0};6000:{0,0.018835874981126377,-,0};8000:{0,0.02011928129246565,-,0};10000:{0,0.02011928129246565,-,0};1000:{0,0.019704061603502944,-,0};3000:{0,0.01902461120338215,-,0};5000:{0,0.019704061603502944,-,0};7000:{0,0.018647138758870602,-,0};9000:{0,0.018194171825456743,-,0}}
Prop:26{2000:{0,0.02249735769288842,-,0};4000:{0,0.023441038804167296,-,0};6000:{0,0.022233126981730335,-,0};8000:{0,0.023365544315264986,-,0};10000:{0,0.02287483013739997,-,0};1000:{0,0.025290653782273895,-,0};3000:{0,0.025139664804469275,-,0};5000:{0,0.023063566359655747,-,0};7000:{0,0.02302581911520459,-,0};9000:{0,0.02219537973727918,-,0}}
Prop:27{2000:{0,0.024082741959836933,-,0};4000:{0,0.023063566359655747,-,0};6000:{0,0.021931149026121092,-,0};8000:{0,0.022308621470632645,-,0};10000:{0,0.023063566359655747,-,0};1000:{0,0.023592027781971916,-,0};3000:{0,0.022988071870753433,-,0};5000:{0,0.023818511248678845,-,0};7000:{0,0.023214555337460367,-,0};9000:{0,0.021478182092707233,-,0}}
Prop:28{2000:{0,0.020987467914842215,-,0};4000:{0,0.02087422618148875,-,0};6000:{0,0.019855050581307564,-,0};8000:{0,0.01943983089234486,-,0};10000:{0,0.02019477578136796,-,0};1000:{0,0.020760984448135286,-,0};3000:{0,0.018722633247772912,-,0};5000:{0,0.0197418088479541,-,0};7000:{0,0.020685489959232976,-,0};9000:{0,0.020609995470330666,-,0}}
Prop:29{2000:{0,0.8060546580099652,-,0};4000:{0,0.8030348784538729,-,0};6000:{0,0.8036388343650913,-,0};8000:{0,0.8026951532538125,-,0};10000:{0,0.801373999698022,-,0};1000:{0,0.8049977351653329,-,0};3000:{0,0.803789823342896,-,0};5000:{0,0.8047335044541748,-,0};7000:{0,0.8082062509436811,-,0};9000:{0,0.8043937792541145,-,0}}
Prop:30{2000:{0,0.13762645326891138,-,0};4000:{0,0.1368337611354371,-,0};6000:{0,0.13762645326891138,-,0};8000:{0,0.13660727766873018,-,0};10000:{0,0.13909859580250641,-,0};1000:{0,0.1353238713573909,-,0};3000:{0,0.13732447531330214,-,0};5000:{0,0.13528612411293975,-,0};7000:{0,0.13049222406764308,-,0};9000:{0,0.13279480597916352,-,0}}
Prop:31{2000:{0,0.012909557602295032,-,0};4000:{0,0.013626755246866979,-,0};6000:{0,0.013324777291257738,-,0};8000:{0,0.01483466706930394,-,0};10000:{0,0.01475917258040163,-,0};1000:{0,0.01400422769137853,-,0};3000:{0,0.01415521666918315,-,0};5000:{0,0.013626755246866979,-,0};7000:{0,0.013098293824550808,-,0};9000:{0,0.013853238713573909,-,0}}
Prop:32{2000:{0,0.9343952891438925,-,0};4000:{0,0.9325079269213348,-,0};6000:{0,0.9348105088328552,-,0};8000:{0,0.9334893552770648,-,0};10000:{0,0.9356032009663294,-,0};1000:{0,0.9332628718103578,-,0};3000:{0,0.9345840253661483,-,0};5000:{0,0.9335271025215159,-,0};7000:{0,0.9312622678544467,-,0};9000:{0,0.9305828174543258,-,0}}
Prop:33{2000:{0,1.0,-,0};4000:{0,1.0,-,0};6000:{0,1.0,-,0};8000:{0,1.0,-,0};10000:{0,1.0,-,0};1000:{0,1.0,-,0};3000:{0,1.0,-,0};5000:{0,1.0,-,0};7000:{0,1.0,-,0};9000:{0,1.0,-,0}}
Prop:34{2000:{0,0.21138456892646837,-,0};4000:{0,0.21621621621621623,-,0};6000:{0,0.2116865468820776,-,0};8000:{0,0.21693341386078815,-,0};10000:{0,0.21040314057073833,-,0};1000:{0,0.21432885399365847,-,0};3000:{0,0.21602747999396044,-,0};5000:{0,0.212516986260003,-,0};7000:{0,0.21330967839347728,-,0};9000:{0,0.212026272082138,-,0}}
Prop:35{2000:{0,0.12230107202174241,-,0};4000:{0,0.11833761135437112,-,0};6000:{0,0.12396195077759324,-,0};8000:{0,0.1181111278876642,-,0};10000:{0,0.11931903971010116,-,0};1000:{0,0.12018722633247773,-,0};3000:{0,0.12082892948814737,-,0};5000:{0,0.1207156877547939,-,0};7000:{0,0.11897931451004076,-,0};9000:{0,0.12426392873320248,-,0}}
Prop:36{2000:{0,0.07413558810206855,-,0};4000:{0,0.0760984448135286,-,0};6000:{0,0.07481503850218935,-,0};8000:{0,0.07723086214706326,-,0};10000:{0,0.07666465348029594,-,0};1000:{0,0.07598520308017515,-,0};3000:{0,0.0767778952136494,-,0};5000:{0,0.07372036841310585,-,0};7000:{0,0.07134229201268308,-,0};9000:{0,0.07217273139060848,-,0}}
Prop:37{2000:{0,0.06639740298958176,-,0};4000:{0,0.06534048014494942,-,0};6000:{0,0.06515174392269364,-,0};8000:{0,0.06643515023403292,-,0};10000:{0,0.06266042578891741,-,0};1000:{0,0.06722784236750717,-,0};3000:{0,0.06330212894458705,-,0};5000:{0,0.06254718405556395,-,0};7000:{0,0.06300015098897781,-,0};9000:{0,0.06439679903367054,-,0}}
Prop:38{2000:{0,0.07043635814585535,-,0};4000:{0,0.07202174241280386,-,0};6000:{0,0.0696436660123811,-,0};8000:{0,0.0722482258795108,-,0};10000:{0,0.0711535557904273,-,0};1000:{0,0.07390910463536161,-,0};3000:{0,0.07262569832402235,-,0};5000:{0,0.06990789672353918,-,0};7000:{0,0.07394685187981277,-,0};9000:{0,0.07107806130152498,-,0}}
Prop:39{2000:{0,0.026347576626906236,-,0};4000:{0,0.027555488449343198,-,0};6000:{0,0.02710252151592934,-,0};8000:{0,0.027895213649403592,-,0};10000:{0,0.027593235693794353,-,0};1000:{0,0.026876038049222405,-,0};3000:{0,0.027630982938245507,-,0};5000:{0,0.0283104333383663,-,0};7000:{0,0.027064774271478183,-,0};9000:{0,0.028046202627208215,-,0}}
Prop:40{2000:{0,0.03280235542805375,-,0};4000:{0,0.031330212894458705,-,0};6000:{0,0.03227389400573758,-,0};8000:{0,0.03272686093915144,-,0};10000:{0,0.033406311339272236,-,0};1000:{0,0.03336856409482108,-,0};3000:{0,0.031934168805677184,-,0};5000:{0,0.03325532236146761,-,0};7000:{0,0.03310433338366299,-,0};9000:{0,0.034840706628416124,-,0}}
Prop:41{2000:{0,0.030537520760984448,-,0};4000:{0,0.03268911369470029,-,0};6000:{0,0.0316699380945191,-,0};8000:{0,0.031707685338970254,-,0};10000:{0,0.03212290502793296,-,0};1000:{0,0.03159444360561679,-,0};3000:{0,0.03227389400573758,-,0};5000:{0,0.030726256983240222,-,0};7000:{0,0.02951834516080326,-,0};9000:{0,0.030952740449947155,-,0}}
Prop:42{2000:{0,0.029329608938547486,-,0};4000:{0,0.031632190850067944,-,0};6000:{0,0.029103125471840557,-,0};8000:{0,0.029178619960742867,-,0};10000:{0,0.02876340027178016,-,0};1000:{0,0.031028234938849465,-,0};3000:{0,0.02838592782726861,-,0};5000:{0,0.029254114449645176,-,0};7000:{0,0.028725653027329004,-,0};9000:{0,0.02951834516080326,-,0}}
Prop:43{2000:{0,0.8287784991695606,-,0};4000:{0,0.825230258191152,-,0};6000:{0,0.8319492677034577,-,0};8000:{0,0.8301751472142533,-,0};10000:{0,0.8239845991242639,-,0};1000:{0,0.8290049826362675,-,0};3000:{0,0.8221727313906085,-,0};5000:{0,0.8247772912577381,-,0};7000:{0,0.8281745432583422,-,0};9000:{0,0.8277215763249283,-,0}}
Prop:44{2000:{0,0.14547788011475163,-,0};4000:{0,0.14687452815944435,-,0};6000:{0,0.14143892495847804,-,0};8000:{0,0.1433262871810358,-,0};10000:{0,0.1474407368262117,-,0};1000:{0,0.14494941869243544,-,0};3000:{0,0.15193265891589913,-,0};5000:{0,0.14762947304846746,-,0};7000:{0,0.1445719462479239,-,0};9000:{0,0.14706326438170014,-,0}}
Prop:45{2000:{0,0.015627359202778197,-,0};4000:{0,0.01653329306960592,-,0};6000:{0,0.016004831647289747,-,0};8000:{0,0.016269062358447835,-,0};10000:{0,0.01736373244753133,-,0};1000:{0,0.015627359202778197,-,0};3000:{0,0.015551864713875888,-,0};5000:{0,0.015514117469424733,-,0};7000:{0,0.016571040314057074,-,0};9000:{0,0.015400875736071266,-,0}}
Prop:46{2000:{0,0.9847501132417333,-,0};4000:{0,0.983919673863808,-,0};6000:{0,0.983919673863808,-,0};8000:{0,0.9836176959081987,-,0};10000:{0,0.9828250037747245,-,0};1000:{0,0.9845613770194775,-,0};3000:{0,0.9841084100860638,-,0};5000:{0,0.9821455533746036,-,0};7000:{0,0.9841839045749661,-,0};9000:{0,0.9845991242639287,-,0}}
Prop:47{2000:{0,1.0,-,0};4000:{0,1.0,-,0};6000:{0,1.0,-,0};8000:{0,1.0,-,0};10000:{0,1.0,-,0};1000:{0,1.0,-,0};3000:{0,1.0,-,0};5000:{0,1.0,-,0};7000:{0,1.0,-,0};9000:{0,1.0,-,0}}
Prop:48{2000:{0,0.21323418390457496,-,0};4000:{0,0.2143666012381096,-,0};6000:{0,0.2160652272384116,-,0};8000:{0,0.2112713271931149,-,0};10000:{0,0.21334742563792844,-,0};1000:{0,0.2094217122150083,-,0};3000:{0,0.2105163823040918,-,0};5000:{0,0.2149705571493281,-,0};7000:{0,0.2153857768382908,-,0};9000:{0,0.21179978861543108,-,0}}
Prop:49{2000:{0,0.12184810508832855,-,0};4000:{0,0.11928129246565,-,0};6000:{0,0.12124414917711007,-,0};8000:{0,0.12335799486637475,-,0};10000:{0,0.12226332477729125,-,0};1000:{0,0.12007398459912426,-,0};3000:{0,0.1181866223765665,-,0};5000:{0,0.12094217122150083,-,0};7000:{0,0.12052695153253812,-,0};9000:{0,0.11947002868790578,-,0}}
Prop:50{2000:{0,0.07768382908047712,-,0};4000:{0,0.07689113694700286,-,0};6000:{0,0.07504152196889627,-,0};8000:{0,0.07504152196889627,-,0};10000:{0,0.0775328401026725,-,0};1000:{0,0.07239921485731542,-,0};3000:{0,0.07689113694700286,-,0};5000:{0,0.07624943379133323,-,0};7000:{0,0.0771931149026121,-,0};9000:{0,0.07330514872414313,-,0}}
Prop:51{2000:{0,0.0674543258342141,-,0};4000:{0,0.06613317227842368,-,0};6000:{0,0.06288690925562435,-,0};8000:{0,0.06620866676732598,-,0};10000:{0,0.06413256832251246,-,0};1000:{0,0.06530273290049826,-,0};3000:{0,0.06349086516684282,-,0};5000:{0,0.064510040767024,-,0};7000:{0,0.0662841612562283,-,0};9000:{0,0.06503850218934018,-,0}}
Prop:52{2000:{0,0.07138003925713422,-,0};4000:{0,0.0722482258795108,-,0};6000:{0,0.07243696210176657,-,0};8000:{0,0.07096481956817152,-,0};10000:{0,0.07104031405707384,-,0};1000:{0,0.06960591876792994,-,0};3000:{0,0.07062509436811112,-,0};5000:{0,0.06915295183451609,-,0};7000:{0,0.07202174241280386,-,0};9000:{0,0.07054959987920882,-,0}}
Prop:53{2000:{0,0.028650158538426694,-,0};4000:{0,0.02993356484976597,-,0};6000:{0,0.028801147516231314,-,0};8000:{0,0.030537520760984448,-,0};10000:{0,0.03008455382757059,-,0};1000:{0,0.029103125471840557,-,0};3000:{0,0.02823493884946399,-,0};5000:{0,0.029556092405254416,-,0};7000:{0,0.028725653027329004,-,0};9000:{0,0.029178619960742867,-,0}}
Prop:54{2000:{0,0.03533142080628114,-,0};4000:{0,0.0335195530726257,-,0};6000:{0,0.03585988222859731,-,0};8000:{0,0.034614223161709194,-,0};10000:{0,0.03619960742865771,-,0};1000:{0,0.03344405858372339,-,0};3000:{0,0.03585988222859731,-,0};5000:{0,0.03616186018420655,-,0};7000:{0,0.03521817907292767,-,0};9000:{0,0.03472746489506266,-,0}}
Prop:55{2000:{0,0.03295334440585837,-,0};4000:{0,0.034991695606220743,-,0};6000:{0,0.03246263022799336,-,0};8000:{0,0.03231164125018873,-,0};10000:{0,0.03333081685036992,-,0};1000:{0,0.034840706628416124,-,0};3000:{0,0.033481805828174546,-,0};5000:{0,0.036539332628718106,-,0};7000:{0,0.0335195530726257,-,0};9000:{0,0.0331798278725653,-,0}}
Prop:56{2000:{0,0.034199003472746486,-,0};4000:{0,0.03238713573909105,-,0};6000:{0,0.03204741053903065,-,0};8000:{0,0.03231164125018873,-,0};10000:{0,0.03268911369470029,-,0};1000:{0,0.03314208062811415,-,0};3000:{0,0.03314208062811415,-,0};5000:{0,0.03306658613921184,-,0};7000:{0,0.031783179827872564,-,0};9000:{0,0.031405707383361015,-,0}}
